Acquired on 3/23/2026 at 20:45:11
Calibrated on 2/21/2023 at 03:14:48
Device Descriptor:  [none]
Scan Range (nm):  1545.445  --  1588.034
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  0.100209
Frequency domain window was not applied to measurement data.
Gage length:  1.000766 cm
Sensor spacing:  0.099884 cm
Number of Data Points (in this file):  41648
NOTE: Data stored in this file is not decimated.

Length (m)	Length (m)	Amplitude (dB/mm)	Spectral Shift (GHz)	Spectral Shift Quality	
2.59384823E+000	2.68995833E+000	-1.08213661E+002	-1.28488064E+001	5.19443452E-001	
2.59386730E+000	2.69095707E+000	-1.08210373E+002	-1.28674116E+001	5.04939079E-001	
2.59388661E+000	2.69195604E+000	-1.09170349E+002	-1.27970209E+001	5.28810680E-001	
2.59390593E+000	2.69295478E+000	-1.10688110E+002	-1.28847761E+001	5.47922373E-001	
2.59392500E+000	2.69395375E+000	-1.10237106E+002	-1.27126770E+001	5.22310853E-001	
2.59394431E+000	2.69495249E+000	-1.11406708E+002	-1.27067862E+001	5.39253533E-001	
2.59396338E+000	2.69595122E+000	-1.08117828E+002	-1.28736134E+001	5.35432577E-001	
2.59398270E+000	2.69695020E+000	-1.04513229E+002	-1.28469458E+001	5.56958139E-001	
2.59400177E+000	2.69794893E+000	-1.04062057E+002	-1.29827642E+001	5.58597744E-001	
2.59402108E+000	2.69894791E+000	-1.04296349E+002	-1.30748596E+001	5.51326513E-001	
2.59404016E+000	2.69994664E+000	-1.04139397E+002	-1.29982681E+001	5.82363367E-001	
2.59405947E+000	2.70094562E+000	-1.05363457E+002	-1.30388899E+001	5.61709464E-001	
2.59407878E+000	2.70194435E+000	-1.10381592E+002	-1.35818539E+001	5.51770329E-001	
2.59409785E+000	2.70294333E+000	-1.13250854E+002	-1.29616785E+001	5.48505664E-001	
2.59411716E+000	2.70394206E+000	-1.11909195E+002	-1.28426046E+001	5.49867690E-001	
2.59413624E+000	2.70494103E+000	-1.10926048E+002	-1.28215179E+001	5.22393644E-001	
2.59415555E+000	2.70593977E+000	-1.09661209E+002	-1.27734537E+001	5.28719723E-001	
2.59417462E+000	2.70693851E+000	-1.07909592E+002	-1.26919012E+001	4.71501499E-001	
2.59419394E+000	2.70793748E+000	-1.08088806E+002	-1.25179415E+001	4.29578185E-001	
2.59421325E+000	2.70893621E+000	-1.08731194E+002	-1.22639799E+001	4.50533777E-001	
2.59423232E+000	2.70993519E+000	-1.08736046E+002	-1.25718985E+001	5.06226420E-001	
2.59425163E+000	2.71093392E+000	-1.08645554E+002	-1.28181067E+001	5.06173730E-001	
2.59427071E+000	2.71193290E+000	-1.08634987E+002	-1.28981104E+001	4.68860149E-001	
2.59429002E+000	2.71293163E+000	-1.08366234E+002	-1.27911301E+001	4.45570469E-001	
2.59430909E+000	2.71393061E+000	-1.06737358E+002	-1.29790430E+001	4.64182705E-001	
2.59432840E+000	2.71492934E+000	-1.06265594E+002	-1.31483507E+001	4.90813673E-001	
2.59434772E+000	2.71592832E+000	-1.05265259E+002	-1.31390486E+001	5.39993167E-001	
2.59436679E+000	2.71692705E+000	-1.05837517E+002	-1.34931688E+001	5.47354102E-001	
2.59438610E+000	2.71792603E+000	-1.04899185E+002	-1.35992193E+001	5.87070405E-001	
2.59440517E+000	2.71892476E+000	-1.05850067E+002	-1.28568687E+001	5.90928376E-001	
2.59442449E+000	2.71992350E+000	-1.06619865E+002	-1.26308136E+001	5.57170093E-001	
2.59444356E+000	2.72092247E+000	-1.08644272E+002	-1.29433823E+001	5.52425683E-001	
2.59446287E+000	2.72192121E+000	-1.09335693E+002	-1.30655584E+001	5.55541694E-001	
2.59448218E+000	2.72292018E+000	-1.11334419E+002	-1.28463249E+001	5.14670014E-001	
2.59450126E+000	2.72391891E+000	-1.07186516E+002	-1.28057032E+001	4.95350718E-001	
