target,mae,rmse,r2,max_abs,n_samples,model,T_holdout,RH_holdout
T,0.1560077874740351,0.16958302294575994,0.0,0.30011612941741106,20,ridge,45,60
RH,0.8494374137154843,0.9226834189729236,0.0,1.6806925263640906,20,ridge,45,60
T,0.16653146035137284,0.17552586596158906,0.0,0.26388694141765967,20,ridge,45,70
RH,1.39662697217343,1.4767178471981692,0.0,2.055733410480073,20,ridge,45,70
T,0.1532036402488192,0.16391662695586076,0.0,0.26915437221699534,20,ridge,45,80
RH,1.296737910466596,1.5139494090701358,0.0,2.533764035109641,20,ridge,45,80
T,0.10544022957726931,0.1264806031816858,0.0,0.25139574593926994,20,ridge,55,20
RH,2.6024798346726423,2.6898545716432603,0.0,3.844903239444772,20,ridge,55,20
T,0.44964184437919885,0.45744458159507007,0.0,0.6473188066099524,20,ridge,55,30
RH,1.5648316124638892,1.6105323786059915,0.0,2.2052782035242444,20,ridge,55,30
T,0.23814733338940605,0.24674483067667208,0.0,0.3538895923955465,20,ridge,55,40
RH,0.4070258985164557,0.4775096716881984,0.0,1.051216875082659,20,ridge,55,40
T,0.059402052819309145,0.07448897323278154,0.0,0.1623765890387432,20,ridge,55,50
RH,0.5113857155765544,0.6749127306041577,0.0,1.3957407186388409,20,ridge,55,50
T,0.05618937988246912,0.07074166319591493,0.0,0.1446929240791448,20,ridge,55,60
RH,0.8860007859916148,1.063098458544091,0.0,2.2656325603533176,20,ridge,55,60
T,0.0438378356202012,0.05825249211483511,0.0,0.16996620776180293,20,ridge,55,70
RH,1.3104702195416216,1.6684435012667347,0.0,3.757498645382981,20,ridge,55,70
T,0.07233617426024566,0.08390304463484057,0.0,0.17210406301797576,20,ridge,55,80
RH,0.9464650658221168,1.154018857837924,0.0,2.275830586271269,20,ridge,55,80
T,0.09034062334173783,0.10620274767236959,0.0,0.1772011296909568,20,ridge,65,20
RH,3.223878055940014,3.2685610455169183,0.0,4.197942423291611,20,ridge,65,20
T,0.06084642001570515,0.07000042597724536,0.0,0.12257741734049432,20,ridge,65,30
RH,1.8332771372785068,2.048437831720192,0.0,3.0415169180492043,20,ridge,65,30
T,0.087080733204062,0.10925027292023978,0.0,0.2640004686268469,20,ridge,65,40
RH,0.8411287642043611,1.0106198652950753,0.0,2.0982331906382683,20,ridge,65,40
T,0.07926674985586715,0.09419118115253065,0.0,0.19590195633355734,20,ridge,65,50
RH,0.867447307123474,1.0524960195835351,0.0,2.3379559209912273,20,ridge,65,50
T,0.07935439102219917,0.08641158392897645,0.0,0.15718668619149412,20,ridge,65,60
RH,0.9266994792556765,1.1568291932676071,0.0,2.3993752629423923,20,ridge,65,60
T,0.07820275539387396,0.10815471987952277,0.0,0.2762180701136572,20,ridge,65,70
RH,0.9036508116281539,1.1581377054934974,0.0,2.469929232163423,20,ridge,65,70
T,0.10010849976808131,0.12077477896813602,0.0,0.26279655422551684,20,ridge,65,80
RH,1.3265312645363472,1.6417665185789465,0.0,3.0986479375731477,20,ridge,65,80
T,0.15539729757150625,0.18011232956141277,0.0,0.363924861009977,20,ridge,75,20
RH,1.7343050950058114,1.8710809363020007,0.0,2.7187492926327543,20,ridge,75,20
T,0.09800137362089742,0.1285301840481505,0.0,0.3492910082214138,20,ridge,75,30
RH,0.8375992142269049,1.0999003815986925,0.0,2.5735203066166505,20,ridge,75,30
T,0.09570443431905104,0.10650020994831827,0.0,0.15974839925337392,20,ridge,75,40
RH,0.72880369177491,0.884823961589751,0.0,1.6805070111506666,20,ridge,75,40
T,0.11528082931483397,0.15440448669066417,0.0,0.28874409013782554,20,ridge,75,50
RH,1.0953900177079632,1.5384755194604072,0.0,4.463850276694124,20,ridge,75,50
T,0.1633651460546119,0.19020697631122108,0.0,0.40417436765480375,20,ridge,75,60
RH,0.7584056930047467,1.0178703382228915,0.0,2.74418385404271,20,ridge,75,60
T,0.1380744202553011,0.17445945129302706,0.0,0.38281915513732656,20,ridge,75,70
RH,1.271614308436422,1.4747772228694582,0.0,2.5784623079411233,20,ridge,75,70
T,0.2196367896126631,0.24663199165042352,0.0,0.405850431107055,20,ridge,75,80
RH,1.5273277202412927,1.8482067952174892,0.0,4.049985140116505,20,ridge,75,80
T,0.2079440467428661,0.22340272956080215,0.0,0.3516311273631061,20,lasso,35,20
RH,6.508725631510961,6.539320714684731,0.0,7.603756411563989,20,lasso,35,20
T,0.42368754660002705,0.42847001009187574,0.0,0.5573399999374402,20,lasso,35,30
RH,4.2731281952595666,4.2954045888278385,0.0,5.032038231768702,20,lasso,35,30
T,0.1156009036197169,0.13656522927252143,0.0,0.24470955836413566,20,lasso,35,40
RH,3.6376360402764347,3.667853144842389,0.0,4.951831900626665,20,lasso,35,40
T,0.04288806520843771,0.0536778748996826,0.0,0.11762044272158789,20,lasso,35,50
RH,0.7994043382858337,0.8438283476647355,0.0,1.227501402321714,20,lasso,35,50
T,0.1301494186711718,0.1582498337010662,0.0,0.34332773479497547,20,lasso,35,60
RH,1.1493893559172759,1.3103219044921297,0.0,2.106386409731769,20,lasso,35,60
T,0.23367002253230637,0.24655231464224242,0.0,0.33316663670139235,20,lasso,35,70
RH,1.027215742243302,1.12018027818612,0.0,1.7449059546598562,20,lasso,35,70
T,0.2818993011677975,0.29908553757061335,0.0,0.43762180860473165,20,lasso,35,80
RH,1.4773882985635574,1.653726896838887,0.0,3.0195195744503565,20,lasso,35,80
T,0.05104713092847,0.06896611532249428,0.0,0.17120105592094603,20,lasso,45,20
RH,3.147703532158476,3.191635422806803,0.0,3.9978236122756172,20,lasso,45,20
T,0.13565188551231094,0.16064807716492602,0.0,0.27320618260037577,20,lasso,45,30
RH,1.9558528896345553,2.0215694439599603,0.0,3.124344287462197,20,lasso,45,30
T,0.11601438754791608,0.12786818601756572,0.0,0.21382186828422078,20,lasso,45,40
RH,3.4574000170974157,3.488069720370102,0.0,4.481303859992927,20,lasso,45,40
