T,RH,target,mae,rmse,max_abs,n_samples,model
55,80,RH,0.3073606090407803,0.3717765471041729,0.5654862186106442,3,lasso
55,80,T,0.03249612872709662,0.03597552532811196,0.04829811246737137,3,lasso
65,20,RH,2.555822249521899,2.567344761120356,2.898305264258166,3,lasso
65,20,T,0.050348279448707935,0.05171991899739345,0.06344551364946938,3,lasso
65,30,RH,1.3689811095175972,1.76028714889892,2.7858959371537857,3,lasso
65,30,T,0.03166331228228122,0.03735663984774728,0.047352584508189466,3,lasso
65,40,RH,0.3104778501396008,0.34390106268792614,0.49602331991619053,3,lasso
65,40,T,0.09309556787207877,0.10340250538443246,0.13434998919618124,3,lasso
65,50,RH,0.513820008854926,0.5675309841188689,0.7818395612516227,3,lasso
65,50,T,0.08827114358457304,0.09669125687429125,0.1425428782606275,3,lasso
65,60,RH,0.5255481088162242,0.7714949594448344,1.3118831654136045,3,lasso
65,60,T,0.06221744123057249,0.06259380634305718,0.07137818267372609,3,lasso
65,70,RH,1.4190346663848032,1.4557269720918553,1.8744376157221012,3,lasso
65,70,T,0.12247137313866574,0.16466876197188476,0.2778740710695331,3,lasso
65,80,RH,0.8528167353062107,1.0008717431242375,1.2257556236431526,3,lasso
65,80,T,0.07413987973921128,0.10132795284421867,0.17181790745296155,3,lasso
75,20,RH,0.26002526771171947,0.30219586978890567,0.41423891167211835,3,lasso
75,20,T,0.12302529968386484,0.13172858679149546,0.1880873453037566,3,lasso
75,30,RH,0.3852174949157157,0.5095762229851714,0.8141784678800654,3,lasso
75,30,T,0.029985631994563278,0.03711195179070962,0.05674798786589008,3,lasso
75,40,RH,0.5593498581512151,0.6988891873792221,1.058884211304722,3,lasso
75,40,T,0.07365110786787454,0.08929330401244565,0.11498222558014959,3,lasso
75,50,RH,1.2462543940497828,1.5662339116759978,2.4315689011103245,3,lasso
75,50,T,0.1307615884741106,0.14483368874547486,0.20750277764615532,3,lasso
75,60,RH,0.5392233288735587,0.6598467302672982,0.9832879152479634,3,lasso
